cac_id,case_id,case_va_session_id,start_time,end_time,va_provider_agency_id,session_date,session_status
1,644164072,975899840,2025-02-28 12:14:26.813273,2025-02-28 16:14:26,26447257,2023-08-30 03:03:44.088019,3
7,454834734,613357830,2013-12-01 19:49:02.679185,2013-12-01 20:49:02,90308062,2021-02-06 13:57:34.916064,6
8,114087563,745596343,1998-08-06 19:07:41.808745,1998-08-06 21:07:41,63698675,1991-01-31 19:41:45.472028,2
3,143533439,267384256,2002-10-09 07:48:51.468930,2002-10-09 08:48:51,64855222,2016-08-17 04:36:01.956951,6
1,527971269,547010016,2024-10-01 06:39:09.947669,2024-10-01 07:39:09,26447257,2023-12-04 05:42:06.145804,1
3,281301146,135957214,2003-05-19 09:15:25.943921,2003-05-19 11:15:25,64855222,1980-02-08 11:36:59.758183,1
3,94192374,535523675,2024-04-10 21:14:33.631696,2024-04-11 01:14:33,64855222,2021-10-26 08:28:05.838641,4
1,569610004,686785333,2020-04-28 06:33:41.300265,2020-04-28 09:33:41,26447257,2018-11-20 10:39:00.942996,6
7,878375330,656002580,2023-03-22 04:30:35.385132,2023-03-22 08:30:35,90308062,2022-09-07 19:17:28.840276,5
8,525932783,389933668,2011-08-30 15:18:29.766264,2011-08-30 17:18:29,63698675,2000-11-04 12:35:12.614173,2
1,673318769,543129470,1994-01-28 13:41:14.453589,1994-01-28 16:41:14,26447257,2001-05-30 14:47:21.270427,3
1,557236694,986173003,2009-05-07 06:38:16.653147,2009-05-07 07:38:16,26447257,2017-02-25 15:46:42.444007,1
3,362881647,299010141,2022-11-30 08:40:35.302731,2022-11-30 11:40:35,64855222,2018-01-11 07:33:05.830384,3
1,626217471,728701746,2009-06-12 15:05:37.190089,2009-06-12 19:05:37,26447257,2019-10-16 04:34:47.934925,5
1,968986015,680603330,2004-05-29 22:02:28.008433,2004-05-30 01:02:28,26447257,2007-05-07 23:37:10.863533,1
